firmaname;rechtsform_de;adresse;plz;ort;website;nummer;email
Hawle Schweiz Armaturen AG;;;;;https://www.hawle.ch/de/unternehmen/ueber-uns/geschichte-hawle/;+41218020490;info@hawle.ch
WISS Schulen für Wirtschaft Informatik Immobilien ((fig.));;;;;https://www.wiss.ch/de-CH/Angebot/Wirtschaftsinformatik;+41584044200;bern@wiss.ch
WISS Schulen für Wirtschaft Informatik Immobilien ((fig.));;;;;https://www.wiss.ch/de-CH/Angebot/Wirtschaftsinformatik;+41584044200;luzern@wiss.ch
WISS Schulen für Wirtschaft Informatik Immobilien ((fig.));;;;;https://www.wiss.ch/de-CH/Angebot/Wirtschaftsinformatik;+41584044200;siro.petranca@wiss.ch
WISS Schulen für Wirtschaft Informatik Immobilien ((fig.));;;;;https://www.wiss.ch/de-CH/Angebot/Wirtschaftsinformatik;+41584044200;stgallen@wiss.ch
WISS Schulen für Wirtschaft Informatik Immobilien ((fig.));;;;;https://www.wiss.ch/de-CH/Angebot/Wirtschaftsinformatik;+41584044200;zuerich@wiss.ch
BabyOne Nr. 2 Schweiz AG;;;;Dietlikon;https://www.babyone.ch/Fachmarkt;+411157721160;info@babyone.ch
BabyOne Nr. 2 Schweiz AG;;;;Dietlikon;https://www.babyone.ch/Fachmarkt;+411157721160;kunden@babyone.ch
BabyOne Nr. 2 Schweiz AG;;;;Dietlikon;https://www.babyone.ch/Fachmarkt;+411157721160;reklamation-schweiz@babyone.ch
BabyOne Nr. 2 Schweiz AG;;;;Dietlikon;https://www.babyone.ch/Fachmarkt;+411157721160;service@babyone.ch
Bechtle Immobilien Schweiz AG;;;;Rotkreuz;https://www.bechtle.com/ch/ueber-bechtle/contact/bechtle-schweiz-ag;+411625187476;4aebaf7fe73d4a46a802db4234079aeb@www.bechtle.com
Bechtle Immobilien Schweiz AG;;;;Rotkreuz;https://www.bechtle.com/ch/ueber-bechtle/contact/bechtle-schweiz-ag;+411625187476;info.ch@bechtle.com
Bechtle Immobilien Schweiz AG;;;;Rotkreuz;https://www.bechtle.com/ch/ueber-bechtle/contact/bechtle-schweiz-ag;+411625187476;kontakt@bechtle.com
Bechtle Immobilien Schweiz AG;;;;Rotkreuz;https://www.bechtle.com/ch/ueber-bechtle/contact/bechtle-schweiz-ag;+411625187476;rotkreuz.direct-ch@bechtle.com
SCHWEIZER IMMOBILIEN & HANDELS AG;;;;Zug;https://www.schweizer-illustrierte.ch/;+41111221011;info@schweizer-illustrierte.ch
BLUMENBÖRSE SCHWEIZ ((fig.));;;;;https://blumenboerse-schweiz.ch/kunde-werden/;+41123124635;mittelland@blumenboerse-schweiz.ch
BLUMENBÖRSE SCHWEIZ ((fig.));;;;;https://blumenboerse-schweiz.ch/kunde-werden/;+41123124635;zuerich@blumenboerse-schweiz.ch
Rheuma Schweiz;;;;Zürich;https://www.rheumaliga.ch/blog/2025/was-ist-rheuma;+41199631433;info@rheumaliga.ch
Entlastungsdienst Schweiz;;;;Bern;https://www.entlastungsdienst.ch/kontakt;+41235172351;ag-so@entlastungsdienst.ch
Entlastungsdienst Schweiz;;;;Bern;https://www.entlastungsdienst.ch/kontakt;+41235172351;be@entlastungsdienst.ch
Entlastungsdienst Schweiz;;;;Bern;https://www.entlastungsdienst.ch/kontakt;+41235172351;bl-bs@entlastungsdienst.ch
Entlastungsdienst Schweiz;;;;Bern;https://www.entlastungsdienst.ch/kontakt;+41235172351;fr@entlastungsdienst.ch
Entlastungsdienst Schweiz;;;;Bern;https://www.entlastungsdienst.ch/kontakt;+41235172351;info@entlastungsdienst.ch
Entlastungsdienst Schweiz;;;;Bern;https://www.entlastungsdienst.ch/kontakt;+41235172351;zh@entlastungsdienst.ch
Kolping Schweiz;;;;Luzern;https://www.kolping.ch/;+41414109139;info@kolping.ch
Krebsforschung Schweiz;;;;Bern;https://www.krebsforschung.ch/ueber-uns/;+41313899109;media@krebsforschung.ch
Krebsforschung Schweiz;;;;Bern;https://www.krebsforschung.ch/ueber-uns/;+41313899109;scientific-office@krebsforschung.ch
Krebsforschung Schweiz;;;;Bern;https://www.krebsforschung.ch/ueber-uns/;+41313899109;spenden@krebsforschung.ch
Careleaver Schweiz;;;;Winterthur;https://www.careleaver-info.ch/;+411056565656;netzwerk@careleaver-info.ch
PFLEGE VERMITTLUNG SCHWEIZ Bestens beraten. Herzlich betreut. ((fig.));;;;;https://pflegewegweiser.ch/pflegende-angehoerige/;+41240921150;info@pflegewegweiser.ch
PFLEGE VERMITTLUNG SCHWEIZ Bestens beraten. Herzlich betreut. ((fig.));;;;;https://pflegewegweiser.ch/pflegende-angehoerige/;+41240921150;marketing@pflegewegweiser.ch
PFLEGE VERMITTLUNG SCHWEIZ Bestens beraten. Herzlich betreut. ((fig.));;;;;https://pflegewegweiser.ch/pflegende-angehoerige/;+41240921150;medienstelle@pflegewegweiser.ch
Kindernothilfe Schweiz;;;;Aarau;https://www.kindernothilfe.ch/de/;+41561296211;info@kindernothilfe.ch
ADRA Schweiz;;;;Zürich;https://www.adra.ch/;+41445150310;info@adra.ch
autismus schweiz;;;;Zürich;https://www.autismus.ch/informationsplattform/autismus.html;+41432448833;beratung@autismus.ch
Wohnbaugenossenschaft Beau-Site;;;;Zollikofen;https://www.wbg-beausite.ch/beau-site;+41319115635;info@wbg-beausite.ch
OSFIN control AG ((fig.));;;;;https://www.osfincontrol.ch/;+41417673600;info@osfincontrol.ch
